testb0   ---D---- ---S---- CZ = ---Q---- CZ
01  09D  FFFFFFFF 80000000 01 = FFFFFFFF 01
01  09E  FFFFFFFF 80000000 10 = FFFFFFFF 10
01  09F  FFFFFFFF 80000000 11 = FFFFFFFF 11
01  0A0  00000000 80000001 00 = 00000000 00
01  0A1  00000000 80000001 01 = 00000000 01
01  0A2  00000000 80000001 10 = 00000000 00
01  0A3  00000000 80000001 11 = 00000000 01
01  0A4  00000001 80000001 00 = 00000001 00
01  0A5  00000001 80000001 01 = 00000001 01
01  0A6  00000001 80000001 10 = 00000001 00
01  0A7  00000001 80000001 11 = 00000001 01
01  0A8  00000002 80000001 00 = 00000002 00
01  0A9  00000002 80000001 01 = 00000002 01
01  0AA  00000002 80000001 10 = 00000002 10
01  0AB  00000002 80000001 11 = 00000002 11
01  0AC  7FFFFFFF 80000001 00 = 7FFFFFFF 00
01  0AD  7FFFFFFF 80000001 01 = 7FFFFFFF 01
01  0AE  7FFFFFFF 80000001 10 = 7FFFFFFF 10
01  0AF  7FFFFFFF 80000001 11 = 7FFFFFFF 11
01  0B0  80000000 80000001 00 = 80000000 00
01  0B1  80000000 80000001 01 = 80000000 01
01  0B2  80000000 80000001 10 = 80000000 00
01  0B3  80000000 80000001 11 = 80000000 01
01  0B4  80000001 80000001 00 = 80000001 00
01  0B5  80000001 80000001 01 = 80000001 01
01  0B6  80000001 80000001 10 = 80000001 00
01  0B7  80000001 80000001 11 = 80000001 01
01  0B8  FFFFFFFE 80000001 00 = FFFFFFFE 00
01  0B9  FFFFFFFE 80000001 01 = FFFFFFFE 01
01  0BA  FFFFFFFE 80000001 10 = FFFFFFFE 10
01  0BB  FFFFFFFE 80000001 11 = FFFFFFFE 11
01  0BC  FFFFFFFF 80000001 00 = FFFFFFFF 00
01  0BD  FFFFFFFF 80000001 01 = FFFFFFFF 01
01  0BE  FFFFFFFF 80000001 10 = FFFFFFFF 10
01  0BF  FFFFFFFF 80000001 11 = FFFFFFFF 11
01  0C0  00000000 FFFFFFFE 00 = 00000000 00
01  0C1  00000000 FFFFFFFE 01 = 00000000 01
01  0C2  00000000 FFFFFFFE 10 = 00000000 00
01  0C3  00000000 FFFFFFFE 11 = 00000000 01
01  0C4  00000001 FFFFFFFE 00 = 00000001 00
01  0C5  00000001 FFFFFFFE 01 = 00000001 01
01  0C6  00000001 FFFFFFFE 10 = 00000001 00
01  0C7  00000001 FFFFFFFE 11 = 00000001 01
01  0C8  00000002 FFFFFFFE 00 = 00000002 00
01  0C9  00000002 FFFFFFFE 01 = 00000002 01
01  0CA  00000002 FFFFFFFE 10 = 00000002 00
01  0CB  00000002 FFFFFFFE 11 = 00000002 01
01  0CC  7FFFFFFF FFFFFFFE 00 = 7FFFFFFF 00
01  0CD  7FFFFFFF FFFFFFFE 01 = 7FFFFFFF 01
01  0CE  7FFFFFFF FFFFFFFE 10 = 7FFFFFFF 10
01  0CF  7FFFFFFF FFFFFFFE 11 = 7FFFFFFF 11
01  0D0  80000000 FFFFFFFE 00 = 80000000 00
01  0D1  80000000 FFFFFFFE 01 = 80000000 01
01  0D2  80000000 FFFFFFFE 10 = 80000000 00
01  0D3  80000000 FFFFFFFE 11 = 80000000 01
01  0D4  80000001 FFFFFFFE 00 = 80000001 00
01  0D5  80000001 FFFFFFFE 01 = 80000001 01
01  0D6  80000001 FFFFFFFE 10 = 80000001 00
01  0D7  80000001 FFFFFFFE 11 = 80000001 01
01  0D8  FFFFFFFE FFFFFFFE 00 = FFFFFFFE 00
01  0D9  FFFFFFFE FFFFFFFE 01 = FFFFFFFE 01
01  0DA  FFFFFFFE FFFFFFFE 10 = FFFFFFFE 10
01  0DB  FFFFFFFE FFFFFFFE 11 = FFFFFFFE 11
01  0DC  FFFFFFFF FFFFFFFE 00 = FFFFFFFF 00
01  0DD  FFFFFFFF FFFFFFFE 01 = FFFFFFFF 01
01  0DE  FFFFFFFF FFFFFFFE 10 = FFFFFFFF 10
01  0DF  FFFFFFFF FFFFFFFE 11 = FFFFFFFF 11
01  0E0  00000000 FFFFFFFF 00 = 00000000 00
01  0E1  00000000 FFFFFFFF 01 = 00000000 01
01  0E2  00000000 FFFFFFFF 10 = 00000000 00
01  0E3  00000000 FFFFFFFF 11 = 00000000 01
01  0E4  00000001 FFFFFFFF 00 = 00000001 00
01  0E5  00000001 FFFFFFFF 01 = 00000001 01
01  0E6  00000001 FFFFFFFF 10 = 00000001 00
01  0E7  00000001 FFFFFFFF 11 = 00000001 01
01  0E8  00000002 FFFFFFFF 00 = 00000002 00
01  0E9  00000002 FFFFFFFF 01 = 00000002 01
01  0EA  00000002 FFFFFFFF 10 = 00000002 00
01  0EB  00000002 FFFFFFFF 11 = 00000002 01
01  0EC  7FFFFFFF FFFFFFFF 00 = 7FFFFFFF 00
